repeat,alternative_tempering,n_filter_particles,n_sample_particles,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
0,True,25,25,1.4827071892163952,0.4827071892163952,0.14080265898398858,0.004,10.0,25
1,True,25,25,0.9827752635470318,0.01722473645296818,5.43586602848336e-07,0.005,10.0,25
2,True,25,25,0.9958953173398755,0.004104682660124537,7.788928133607044e-07,0.020000000000000004,10.0,25
3,True,25,25,0.9700387028463748,0.029961297153625166,8.006302566258269e-07,0.011,10.0,25
4,True,25,25,0.9298451119707458,0.07015488802925418,1.2670687810079073e-08,0.001,10.0,25
5,True,25,25,0.872996331898789,0.127003668101211,1.2554908993047847e-06,0.02500000000000001,10.0,25
6,True,25,25,0.9456121876979411,0.05438781230205891,1.8877978880116328e-07,0.001,10.0,25
7,True,25,25,0.8094830315945586,0.1905169684054414,1.1331166295920987e-16,0.0,10.0,25
8,True,25,25,0.8726910079539691,0.12730899204603086,2.4723849578699316e-07,0.0030000000000000005,10.0,25
9,True,25,25,0.8809977695832261,0.11900223041677394,3.826469773196896e-07,0.004,10.0,25
0,True,25,50,0.5468187586245109,0.4531812413754891,1.1214946133455537e-16,0.0,10.0,50
1,True,25,50,0.9603120978051257,0.03968790219487428,1.9019789369222447e-07,0.0015000000000000002,10.0,50
2,True,25,50,1.050613030117679,0.050613030117679036,2.2429892266911074e-16,0.0,10.0,50
3,True,25,50,1.0920350866233663,0.09203508662336635,2.233879171150692e-07,0.0015000000000000002,10.0,50
4,True,25,50,0.8992254033255197,0.1007745966744803,1.1214946133455537e-16,0.0,10.0,50
5,True,25,50,0.9911008858426144,0.008899114157385646,4.1290713242109214e-07,0.004,10.0,50
6,True,25,50,0.6159255689034991,0.38407443109650086,4.769488188776084e-07,0.007000000000000002,10.0,50
7,True,25,50,1.2272979565820845,0.22729795658208451,7.123314800082836e-07,0.011500000000000003,10.0,50
8,True,25,50,1.1480871454728827,0.1480871454728827,2.2878389169979286e-07,0.006,10.0,50
9,True,25,50,0.7034267316889246,0.29657326831107544,1.4930921469319992e-07,0.001,10.0,50
0,True,25,100,0.4370758981956982,0.5629241018043019,1.1158161231197418e-16,0.0,10.0,100
1,True,25,100,1.0930879495807302,0.09308794958073019,2.9268537440552445e-07,0.0005,10.0,100
2,True,25,100,0.911955475778345,0.08804452422165499,2.239207587656991e-07,0.00125,10.0,100
