repeat,alternative_tempering,n_filter_particles,n_sample_particles,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
0,True,25,25,1.0908165386177093,0.09081653861770933,3.2028014281684707e-07,0.0064,10.0,25
1,True,25,25,0.9378125186912463,0.062187481308753734,5.305886344303037e-07,0.0064,10.0,25
2,True,25,25,0.9707630746349447,0.02923692536505529,2.688043755052459e-07,0.0064,10.0,25
3,True,25,25,0.979674793120789,0.020325206879211022,3.9521086645163296e-07,0.0048,10.0,25
4,True,25,25,1.1143562578166097,0.11435625781660974,0.0,0.0,10.0,25
5,True,25,25,1.2498134199954283,0.24981341999542828,0.0,0.0,10.0,25
6,True,25,25,0.9689038917742083,0.031096108225791674,0.0,0.0,10.0,25
7,True,25,25,0.9852275472038436,0.014772452796156355,3.051064861620282e-07,0.0032,10.0,25
8,True,25,25,1.1381297400587536,0.13812974005875356,2.047476032718265e-07,0.0016,10.0,25
9,True,25,25,1.1098976979168618,0.10989769791686177,2.2662332591841974e-16,0.0,10.0,25
0,True,25,50,0.9013206983694212,0.09867930163057881,8.476080141235744e-08,0.0008,10.0,50
1,True,25,50,0.7700633690200454,0.22993663097995465,1.1214946133455537e-16,0.0,10.0,50
2,True,25,50,0.9460717601748602,0.053928239825139834,1.1214946133455537e-16,0.0,10.0,50
3,True,25,50,0.8377756597472421,0.1622243402527579,0.0730651069533249,0.0008,10.0,50
4,True,25,50,1.0085065854763027,0.008506585476302675,2.2429892266911074e-16,0.0,10.0,50
5,True,25,50,0.8990956963737625,0.10090430362623748,3.3978118552559607e-07,0.0016,10.0,50
6,True,25,50,0.7787706597565344,0.22122934024346563,3.027191990138977e-07,0.0016,10.0,50
7,True,25,50,0.9520282670253652,0.04797173297463475,0.0,0.0,10.0,50
8,True,25,50,1.0316283728925595,0.031628372892559486,3.046182785443645e-07,0.0032,10.0,50
9,True,25,50,1.0987302640807521,0.09873026408075214,3.6134038893909554e-07,0.0016,10.0,50
0,True,25,100,0.9801919980504771,0.019808001949522924,1.1158161231197418e-16,0.0,10.0,100
1,True,25,100,1.0798996512437333,0.07989965124373333,2.0602663552971025e-08,0.0004,10.0,100
2,True,25,100,1.0827250418601044,0.08272504186010443,1.049002620824254e-07,0.0012,10.0,100
3,True,25,100,1.01074589882378,0.010745898823780076,1.2729894043328472e-07,0.0004,10.0,100
4,True,25,100,1.1184098104898081,0.11840981048980814,2.447998311907524e-07,0.0048,10.0,100
5,True,25,100,1.1739853995955274,0.1739853995955274,1.8797700552043862e-07,0.0024000000000000002,10.0,100
6,True,25,100,1.1015577754550405,0.10155777545504052,4.463264492478967e-16,0.0,10.0,100
7,True,25,100,0.8599011388482812,0.14009886115171877,3.3474483693592255e-16,0.0,10.0,100
8,True,25,100,1.130055231287608,0.130055231287608,2.8014683906008044e-08,0.0004,10.0,100
9,True,25,100,1.2212422757847168,0.22124227578471678,0.032152335554179755,0.0008,10.0,100
0,True,50,25,0.6919212115797795,0.3080787884202205,1.3273989240499998e-07,0.0032,10.0,25
1,True,50,25,0.9822915469074716,0.017708453092528442,2.5219016024034886e-07,0.0048,10.0,25
2,True,50,25,0.99263180293649,0.007368197063509996,1.837463285996423e-07,0.0032,10.0,25
3,True,50,25,0.6270466259117149,0.3729533740882851,3.270577455527501e-08,0.0016,10.0,25
4,True,50,25,1.2591701483267987,0.25917014832679874,3.264330902275798e-07,0.0064,10.0,25
5,True,50,25,1.1402722753820698,0.14027227538206977,0.0,0.0,10.0,25
6,True,50,25,1.2870557137112006,0.28705571371120064,2.2662332591841974e-16,0.0,10.0,25
7,True,50,25,0.7494805910023193,0.25051940899768066,6.49541313932008e-07,0.0144,10.0,25
8,True,50,25,0.7472263319778308,0.25277366802216916,2.4455701735564753e-07,0.0032,10.0,25
9,True,50,25,0.9249591561263476,0.0750408438736524,3.0805877184057587e-07,0.011200000000000002,10.0,25
0,True,50,50,0.9202049894039227,0.0797950105960773,3.7119725486161386e-07,0.0032,10.0,50
1,True,50,50,0.7819673036534267,0.2180326963465733,1.1214946133455537e-16,0.0,10.0,50
2,True,50,50,0.9808096994021434,0.019190300597856647,2.7631292859786174e-07,0.0032,10.0,50
3,True,50,50,1.1139552901865621,0.11395529018656214,3.0257153532423166e-07,0.0048000000000000004,10.0,50
4,True,50,50,1.0611648287693232,0.061164828769323165,0.0,0.0,10.0,50
5,True,50,50,0.7544679025524956,0.24553209744750437,1.1214946133455537e-16,0.0,10.0,50
6,True,50,50,1.010904433132864,0.010904433132864044,4.286693906063102e-07,0.005600000000000001,10.0,50
7,True,50,50,0.6981428972075875,0.3018571027924125,8.147191041617354e-08,0.0008,10.0,50
8,True,50,50,1.2286287272231846,0.2286287272231846,5.254172791350898e-07,0.0104,10.0,50
9,True,50,50,0.8750466358861902,0.12495336411380975,1.5993154603371257e-07,0.0016,10.0,50
0,True,50,100,1.0614943822502967,0.061494382250296686,9.91421714285969e-07,0.03640000000000001,10.0,100
1,True,50,100,0.7713604638061485,0.22863953619385147,0.03329514213214407,0.0064,10.0,100
2,True,50,100,0.797610896874821,0.202389103125179,8.990437141646417e-07,0.0284,10.0,100
3,True,50,100,0.6818240569236191,0.31817594307638086,0.0,0.0,10.0,100
4,True,50,100,1.0533708782678912,0.05337087826789122,3.191570345151222e-07,0.004,10.0,100
5,True,50,100,0.8273911253069225,0.1726088746930775,1.961101539566691e-07,0.0032,10.0,100
6,True,50,100,1.076862824462447,0.07686282446244697,6.347317796663162e-07,0.0148,10.0,100
7,True,50,100,0.8585694922227648,0.1414305077772352,7.212979196152484e-07,0.021600000000000005,10.0,100
8,True,50,100,0.8077945652463228,0.19220543475367724,3.9895504635793637e-07,0.006800000000000001,10.0,100
9,True,50,100,0.8711083161046598,0.12889168389534023,4.17928898608012e-07,0.0036,10.0,100
0,True,100,25,0.9383222557315581,0.06167774426844186,9.87859772212252e-07,0.0208,10.0,25
1,True,100,25,-0.10009677311133941,1.1000967731113394,7.009855690511942e-07,0.030400000000000003,10.0,25
2,True,100,25,1.1014411334407952,0.1014411334407952,3.599915498707051e-07,0.0064,10.0,25
3,True,100,25,1.1287723953855648,0.12877239538556484,8.256214713475443e-07,0.017599999999999998,10.0,25
4,True,100,25,-0.09239430669984643,1.0923943066998465,2.37271188320586e-07,0.0032,10.0,25
5,True,100,25,0.7485437403648002,0.2514562596351998,2.740545531549694e-07,0.0048,10.0,25
6,True,100,25,1.1491180909483782,0.14911809094837825,0.0,0.0,10.0,25
7,True,100,25,1.019244146398869,0.019244146398869066,2.909364739738615e-07,0.0048,10.0,25
8,True,100,25,1.0054992033524421,0.005499203352442139,8.535221404366826e-07,0.022399999999999996,10.0,25
9,True,100,25,0.7072835048095308,0.29271649519046916,7.382929098397096e-07,0.0208,10.0,25
0,True,100,50,0.7373802038625399,0.2626197961374601,5.442917879865642e-07,0.016,10.0,50
1,True,100,50,0.9240079227629228,0.07599207723707724,1.608746060484252e-07,0.0016,10.0,50
2,True,100,50,0.529287269551364,0.47071273044863604,3.0655700830306856e-07,0.0016,10.0,50
3,True,100,50,0.5064306176037383,0.4935693823962617,7.28721559827129e-07,0.024000000000000004,10.0,50
