repeat,alternative_tempering,n_filter_particles,n_sample_particles,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
0,True,25,25,0.9291820993970706,0.07081790060292936,0.13114625011504286,0.0176,0.9990663015295559,25
1,True,25,25,1.0084572566135825,0.008457256613582542,0.07029890407658504,0.0048,0.998391194410043,25
2,True,25,25,1.0736476136552437,0.07364761365524375,0.10408514484504057,0.017599999999999998,0.998260123464828,25
3,True,25,25,1.0513070159357063,0.0513070159357063,0.08698544475943588,0.028800000000000003,0.999053140878278,25
4,True,25,25,1.1146543888030243,0.11465438880302425,0.11903781246222049,0.048,0.9986641213108803,25
5,True,25,25,1.1243437303205461,0.12434373032054613,0.10989768518022049,0.011200000000000002,0.9979715194552033,25
6,True,25,25,1.0653448098981668,0.06534480989816682,0.08137652236435655,0.0304,0.9989852816451255,25
7,True,25,25,1.1291824821166516,0.12918248211665162,0.05546731908520763,0.03200000000000001,0.9989925209555506,25
8,True,25,25,1.0761746914602004,0.0761746914602004,0.03236408514600296,0.0416,0.9989235754240722,25
9,True,25,25,0.9870573280792178,0.012942671920782245,0.1337553031269619,0.0464,0.998956845639605,25
0,True,25,50,0.9547227886854092,0.04527721131459084,0.09713397838021624,0.0032,0.9984865142868953,50
1,True,25,50,1.0199316102207272,0.019931610220727203,0.12463982167139684,0.024800000000000003,0.998879188350017,50
2,True,25,50,1.0459717874102674,0.04597178741026742,0.14653438516513823,0.0248,0.9991880489065402,50
3,True,25,50,1.0791501689336385,0.07915016893363847,0.1406344427232911,0.0352,0.9990807963617,50
4,True,25,50,1.089940795607472,0.08994079560747203,0.12328278867851529,0.014400000000000001,0.9987163694378065,50
5,True,25,50,1.0828235030666138,0.08282350306661379,0.10155566870741906,0.0304,0.9989145582246759,50
6,True,25,50,0.9809805085857888,0.01901949141421122,0.0685884777229403,0.0016,0.9983066859208052,50
7,True,25,50,1.052242133493694,0.052242133493694,0.10353041007659876,0.004,0.9985698534727901,50
8,True,25,50,1.056069913720251,0.05606991372025094,0.10146448858658103,0.029600000000000008,0.9989866905150915,50
9,True,25,50,0.9253305249602409,0.07466947503975907,0.13291420584250857,0.004,0.9985545977720037,50
0,True,25,100,1.0660089114544224,0.06600891145442245,0.12659590498795673,0.04640000000000002,0.9990570331513525,100
1,True,25,100,1.0287235101976926,0.028723510197692592,0.10225928701803079,0.0352,0.9988256964899032,100
2,True,25,100,1.0966393134410857,0.09663931344108567,0.041976491005416984,0.014800000000000002,0.9988981436130788,100
3,True,25,100,1.0789320971611764,0.07893209716117644,0.07852222058401623,0.0104,0.9987659550591528,100
4,True,25,100,1.0437491512088826,0.043749151208882564,0.11176707228450161,0.008,0.9989162986292395,100
5,True,25,100,1.0285303485705413,0.028530348570541264,0.1362810877004981,0.0084,0.9983916163806061,100
6,True,25,100,1.0322999642883868,0.03229996428838677,0.13236960292701141,0.0352,0.9990448324404133,100
7,True,25,100,0.9038446790691528,0.09615532093084722,0.1435890701764168,0.006000000000000001,0.9986190101474035,100
8,True,25,100,1.0854771500681593,0.08547715006815926,0.11882649528019859,0.04120000000000001,0.9991176008282698,100
9,True,25,100,1.0640556327284894,0.06405563272848935,0.11085104608364187,0.0328,0.998902130106597,100
0,True,50,25,0.9666805412924988,0.03331945870750119,0.07495449732404114,0.0016,0.9980542130981449,25
1,True,50,25,1.0556187372961217,0.055618737296121656,0.15579948171707364,0.0336,0.9982954716321082,25
2,True,50,25,1.1427464810032804,0.14274648100328036,0.07162652304074811,0.0016,0.9979415071287474,25
3,True,50,25,1.0845585400555264,0.08455854005552643,0.08367023795987004,0.0192,0.997282344667143,25
4,True,50,25,1.0636328709194596,0.06363287091945957,0.09128289442100093,0.04000000000000001,0.9981429296641817,25
5,True,50,25,1.1258160506746642,0.12581605067466417,0.044833537173399704,0.0128,0.9986371487841923,25
6,True,50,25,1.0231148259699494,0.023114825969949404,0.1200980801768981,0.0352,0.9981085142020578,25
7,True,50,25,1.0579040908314388,0.05790409083143877,0.11654871062145657,0.0064,0.9972191061139654,25
8,True,50,25,1.0481428865657976,0.04814288656579757,0.09717820582520367,0.046400000000000004,0.9984812755649295,25
9,True,50,25,1.090790456007266,0.0907904560072661,0.05891752536554923,0.027200000000000002,0.9980048545456128,25
0,True,50,50,1.0274154427071653,0.02741544270716534,0.0651222838554111,0.024799999999999996,0.998757049429698,50
1,True,50,50,1.1305655757224629,0.13056557572246286,0.15536200368618963,0.02,0.9980753255581335,50
2,True,50,50,1.0150461011548717,0.015046101154871705,0.13355825192980408,0.018400000000000003,0.9982031078469535,50
3,True,50,50,1.1411090403637203,0.1411090403637203,0.1632276353067576,0.049600000000000005,0.9985208154179737,50
4,True,50,50,1.0286009547617012,0.028600954761701214,0.1329340870874501,0.049600000000000005,0.9984558990568033,50
5,True,50,50,1.10827569382135,0.10827569382135005,0.11703746246387173,0.0064,0.9974929113682405,50
6,True,50,50,1.1282480366233738,0.1282480366233738,0.10488850434741318,0.0464,0.9983003414523168,50
7,True,50,50,1.1535152298382676,0.1535152298382676,0.15251065106280984,0.0176,0.9984605613071317,50
8,True,50,50,0.9892484962875387,0.010751503712461252,0.14654854098342157,0.0032,0.9981814648606179,50
9,True,50,50,1.0822807263895862,0.08228072638958617,0.06395311129779109,0.004,0.9982851335419959,50
0,True,50,100,0.9998552216594281,0.00014477834057191608,0.07383225644960241,0.0068000000000000005,0.9981259192169578,100
1,True,50,100,1.051798657355267,0.0517986573552669,0.16021717387611786,0.04480000000000001,0.9982880565918761,100
2,True,50,100,1.0217426229065758,0.021742622906575804,0.08155839970505431,0.029600000000000005,0.9984225132253484,100
3,True,50,100,1.1050546487466417,0.10505464874664172,0.09214008503025908,0.0212,0.9982934956914592,100
4,True,50,100,1.0472875462945173,0.04728754629451726,0.14712507562386193,0.0228,0.9982781582640112,100
5,True,50,100,1.0721717311572057,0.07217173115720565,0.14340191540683897,0.0368,0.9984634265395221,100
6,True,50,100,1.0676853806216642,0.06768538062166418,0.13895831677814463,0.0104,0.9980082956133876,100
7,True,50,100,1.0679791756015256,0.06797917560152555,0.13341442349685778,0.024800000000000003,0.998443026111107,100
8,True,50,100,1.0155501538674558,0.01555015386745584,0.1041998546538459,0.0088,0.9975391193832746,100
9,True,50,100,1.0383763100937076,0.038376310093707566,0.11548324052291359,0.017200000000000003,0.9977934899107439,100
0,True,100,25,1.0319371550845127,0.03193715508451267,0.10928485347150056,0.033600000000000005,0.9974035856385028,25
1,True,100,25,1.0178443850262626,0.01784438502626262,0.09928532758708426,0.030400000000000003,0.997039870713065,25
2,True,100,25,1.0333283234627932,0.03332832346279324,0.18561529918784822,0.03200000000000001,0.9966056646143779,25
3,True,100,25,0.9373297838584924,0.06267021614150758,0.06625135144884005,0.008,0.9960236310745618,25
4,True,100,25,1.0573335808367275,0.05733358083672746,0.09598670340342173,0.0288,0.9976882932717928,25
5,True,100,25,1.1561612691883862,0.15616126918838624,0.1211268838010624,0.0064,0.9966433575735741,25
6,True,100,25,1.0957329220608698,0.09573292206086981,0.08876101351945587,0.03200000000000001,0.9972353060486697,25
7,True,100,25,1.0928764677510914,0.09287646775109137,0.13344719474784364,0.011200000000000002,0.9961635942924139,25
8,True,100,25,1.083333189504137,0.08333318950413693,0.10086420659897823,0.0304,0.9978016180493485,25
9,True,100,25,0.9618318281986312,0.03816817180136878,0.13101761548013682,0.025600000000000005,0.9963656077416023,25
0,True,100,50,0.976985171995268,0.02301482800473198,0.08103003273209794,0.026399999999999996,0.9978510465240972,50
1,True,100,50,0.9867425832969374,0.013257416703062574,0.21053383390402444,0.035199999999999995,0.9979022449309491,50
