repeat,alternative_tempering,n_filter_particles,n_sample_particles,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles,n_iterations
0,True,25,25,1.084931289439497,0.0849312894394969,0.11466174183271127,0.019199999999999995,0.9985792569204216,25,8
1,True,25,25,1.0546390840875848,0.05463908408758478,0.04169044484797331,0.0048,0.9982207286893713,25,9
2,True,25,25,1.0093104606783434,0.009310460678343402,0.06913974608857656,0.032,0.9990341311601724,25,7
3,True,25,25,1.107597930159263,0.10759793015926311,0.09311154881541144,0.023999999999999994,0.9980366018615163,25,8
4,True,25,25,1.149825157863797,0.14982515786379702,0.10132014457004167,0.0064,0.9987105138611336,25,7
5,True,25,25,1.073618840178253,0.07361884017825293,0.0824084691534038,0.0128,0.9986563082397847,25,8
6,True,25,25,1.0017219721856658,0.001721972185665832,0.10828233365503884,0.032,0.9989560256266515,25,8
7,True,25,25,1.0961208163669411,0.09612081636694114,0.08768231832019567,0.016,0.9988471580846927,25,7
8,True,25,25,0.9700170685028996,0.029982931497100407,0.06160404968681865,0.0064,0.9989999327065338,25,7
9,True,25,25,0.990857228700923,0.009142771299077035,0.0648151959941916,0.0416,0.9989132484985102,25,7
0,True,25,50,1.0718637139277434,0.07186371392774338,0.137359869418244,0.0336,0.9988160158492105,50,7
1,True,25,50,1.0388882807056783,0.03888828070567829,0.12792280285713523,0.024000000000000004,0.9989858252742398,50,7
2,True,25,50,1.045302545881633,0.04530254588163296,0.1113240376382085,0.0376,0.9987457315890659,50,7
3,True,25,50,1.0248993360352658,0.02489933603526584,0.08787522390381156,0.0088,0.998297746967276,50,8
4,True,25,50,0.9802872822798377,0.019712717720162254,0.14170284675451908,0.023200000000000002,0.9987540473304526,50,7
5,True,25,50,1.0223045612917883,0.02230456129178826,0.10464546750716135,0.039200000000000006,0.9987559585618445,50,7
6,True,25,50,1.1266166249484444,0.1266166249484444,0.10052828803365121,0.036800000000000006,0.9989799115111979,50,7
7,True,25,50,1.135948830670782,0.1359488306707819,0.13196046347837212,0.023200000000000002,0.9986819458034746,50,8
8,True,25,50,1.0097803112861847,0.009780311286184729,0.09725923912576893,0.0256,0.99912220225265,50,7
9,True,25,50,1.0494368810731256,0.049436881073125605,0.09538073280814177,0.0024,0.9981861139640813,50,7
0,True,25,100,1.0051981980277103,0.005198198027710266,0.12283226234626653,0.030800000000000008,0.9988804595780743,100,7
1,True,25,100,1.0358187287303184,0.03581872873031844,0.14002228870490785,0.018800000000000004,0.9985963516841307,100,8
2,True,25,100,1.070640623724307,0.0706406237243069,0.14531855486651898,0.0252,0.9989070298223443,100,7
3,True,25,100,1.080039419268809,0.08003941926880898,0.09952477489963492,0.039200000000000006,0.9989141051391698,100,7
4,True,25,100,0.9838237436598486,0.016176256340151407,0.14447889157486593,0.0136,0.9987457682667644,100,7
5,True,25,100,1.0766718246424227,0.07667182464242273,0.09553596176435179,0.0432,0.9990282410896315,100,7
6,True,25,100,1.017226516781072,0.0172265167810719,0.12027335768491136,0.032400000000000005,0.9988835096646744,100,7
7,True,25,100,1.0826215105314896,0.08262151053148958,0.08034722761116762,0.011600000000000001,0.9986015189850547,100,8
8,True,25,100,1.0547236805305267,0.054723680530526675,0.1154881141794899,0.0208,0.9989538053164635,100,7
9,True,25,100,1.0573011753268693,0.05730117532686929,0.11568653801370053,0.030400000000000003,0.9987663387625035,100,7
0,True,50,25,1.1240944213834325,0.12409442138343252,0.09570343798114962,0.017599999999999998,0.9982758570396308,25,6
1,True,50,25,1.0163964225451767,0.016396422545176703,0.0702925688905691,0.0192,0.9978244956010061,25,7
2,True,50,25,1.02890336105665,0.028903361056650034,0.1198452174198366,0.0352,0.9983580117631845,25,7
3,True,50,25,0.9293017247167024,0.07069827528329764,0.06277053226864322,0.0064,0.9972692055922351,25,7
4,True,50,25,1.080741563464365,0.0807415634643649,0.10884992717883955,0.024000000000000004,0.9985582657807306,25,6
5,True,50,25,1.0340800551964855,0.03408005519648549,0.18082935847091242,0.027200000000000002,0.9983918962937695,25,7
6,True,50,25,0.9185108570044979,0.08148914299550214,0.03250747910476656,0.0032,0.9967922353965719,25,8
7,True,50,25,0.9957407813030185,0.004259218696981537,0.18052038261827066,0.016,0.997840528223158,25,7
8,True,50,25,1.0474568237409168,0.047456823740916754,0.14774588765080127,0.038400000000000004,0.9984741099095578,25,7
9,True,50,25,0.9568366967864536,0.043163303213546445,0.11408923739450867,0.04,0.9982456911549678,25,7
0,True,50,50,1.1194899128498055,0.11948991284980548,0.07975159204850481,0.044,0.9985393806145602,50,7
1,True,50,50,1.088664112949729,0.08866411294972898,0.09742595639713147,0.039200000000000006,0.9982757401098461,50,7
2,True,50,50,1.0607940555721147,0.0607940555721147,0.11602901762535842,0.02480000000000001,0.9981550704252955,50,7
3,True,50,50,1.040950689110112,0.040950689110111904,0.17887305943335355,0.039200000000000006,0.9984750087247849,50,7
4,True,50,50,1.0848085707770379,0.08480857077703785,0.09282840582320438,0.011199999999999996,0.997623871391287,50,7
5,True,50,50,1.1960157379109766,0.1960157379109766,0.05105790734137957,0.012000000000000002,0.9981350233039489,50,7
6,True,50,50,0.9817705524312828,0.01822944756871725,0.0662296587623219,0.0048,0.9980853411384785,50,8
7,True,50,50,1.07574781141386,0.07574781141385989,0.12124159123195336,0.016,0.997303947172458,50,8
8,True,50,50,1.059143533534192,0.059143533534192105,0.09115023245535375,0.0152,0.9985648647111288,50,7
9,True,50,50,0.9850515889107618,0.014948411089238167,0.11471335960485676,0.008,0.9980886306800061,50,7
0,True,50,100,1.1442590375187944,0.14425903751879443,0.0908698739214866,0.0088,0.9981972205718953,100,8
1,True,50,100,0.8980887865189241,0.1019112134810759,0.15590824582006096,0.026800000000000004,0.9985969272382913,100,7
2,True,50,100,1.09576485341246,0.09576485341246,0.12261141107891795,0.03760000000000001,0.9982429099409221,100,7
3,True,50,100,1.0458151851087292,0.04581518510872917,0.10372173331687166,0.006400000000000001,0.9980445235961108,100,8
4,True,50,100,1.133564703245396,0.13356470324539593,0.17773164898197322,0.002,0.9979917067594553,100,7
5,True,50,100,0.9706075479485375,0.02939245205146246,0.12102004542674168,0.044400000000000016,0.9987292815716748,100,7
6,True,50,100,0.9459176182678108,0.054082381732189155,0.12215187527000615,0.0104,0.9979475074758433,100,8
7,True,50,100,1.049312453073825,0.049312453073824924,0.12085716642073793,0.026000000000000002,0.9982979012047124,100,7
8,True,50,100,0.9818299712565165,0.0181700287434835,0.11790977092790958,0.028800000000000003,0.9983910963374989,100,7
9,True,50,100,1.009564860578854,0.009564860578854084,0.1671433704748428,0.032,0.9982395326436506,100,7
0,True,100,25,1.1357074598484254,0.13570745984842536,0.09219116858000309,0.0032,0.9972431910133659,25,7
1,True,100,25,1.0439307211083257,0.04393072110832574,0.1819825262263878,0.017599999999999998,0.996924596578511,25,7
2,True,100,25,1.1639936013267056,0.1639936013267056,0.12746601703568283,0.0272,0.9965218994926865,25,7
3,True,100,25,0.9870257413176046,0.012974258682395434,0.1490698458873053,0.0192,0.9967226632901615,25,6
4,True,100,25,0.9014273566426786,0.09857264335732141,0.23801450372159433,0.016,0.9971851352149796,25,6
5,True,100,25,1.0952710523910572,0.09527105239105715,0.18225381848113897,0.009600000000000001,0.9967115537837092,25,8
6,True,100,25,1.16032379674838,0.16032379674837993,0.05615740539196485,0.0064,0.9974026841543522,25,7
7,True,100,25,0.8981389211602832,0.10186107883971685,0.12615095022386694,0.0064,0.9977569229339274,25,7
8,True,100,25,1.0559787254716029,0.055978725471602875,0.06141235386119886,0.0032,0.9959855838005913,25,8
9,True,100,25,1.0675176927543015,0.06751769275430153,0.07871694826747347,0.027200000000000005,0.9978328057436887,25,7
0,True,100,50,1.080666778650579,0.08066677865057903,0.02113086064768769,0.0064,0.9970946001537292,50,8
1,True,100,50,1.0087927312506857,0.008792731250685693,0.11324273719274687,0.031199999999999995,0.9976858663798905,50,7
2,True,100,50,1.0237677399465475,0.02376773994654746,0.1519861794448558,0.0352,0.9979126333792763,50,7
3,True,100,50,1.0106901625259315,0.010690162525931468,0.2202831786185036,0.047200000000000006,0.9981870087352493,50,7
4,True,100,50,1.043711093392716,0.04371109339271606,0.11433782370744001,0.0208,0.9974139189320188,50,7
5,True,100,50,1.0245116350428192,0.02451163504281917,0.18150286168604168,0.015200000000000002,0.9971941205729811,50,7
6,True,100,50,1.0148860301744818,0.014886030174481757,0.18671975752382794,0.014400000000000001,0.9976754851877668,50,7
7,True,100,50,1.0467292184866452,0.04672921848664524,0.19995285400048884,0.02,0.997454567329249,50,7
8,True,100,50,0.9743414387595508,0.025658561240449185,0.17023973265171505,0.044800000000000006,0.9976428922143041,50,7
9,True,100,50,1.00506688400829,0.005066884008289918,0.14650565654267136,0.018400000000000003,0.9971823962871786,50,7
0,True,100,100,1.034088863288226,0.03408886328822591,0.18157722480767294,0.03200000000000001,0.9978330631007333,100,7
1,True,100,100,0.9904268686314666,0.009573131368533438,0.17344652956341564,0.042800000000000005,0.99797679510083,100,7
2,True,100,100,1.0115987619227775,0.011598761922777534,0.16971215979578075,0.013600000000000001,0.9975608016160444,100,7
3,True,100,100,1.002155422576559,0.002155422576558985,0.15828019820532946,0.0068000000000000005,0.9973373851944223,100,7
4,True,100,100,1.0936853970153657,0.09368539701536571,0.053112788679202994,0.012000000000000002,0.9982158630335979,100,7
5,True,100,100,1.1066852598920374,0.10668525989203737,0.2351672232163901,0.0408,0.9981479292091375,100,7
6,True,100,100,1.0429770764473958,0.04297707644739579,0.19056651320408485,0.0432,0.9979582200676034,100,7
7,True,100,100,1.0033087987328186,0.003308798732818641,0.13049395487750218,0.007600000000000001,0.9971691784120504,100,8
8,True,100,100,0.9894107885080509,0.010589211491949135,0.16062208705766862,0.018000000000000002,0.9976215294944129,100,7
9,True,100,100,1.1068871112408487,0.10688711124084871,0.1227459675627118,0.04880000000000002,0.9982120369244423,100,7
