repeat,seed,alpha,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
0,0,0.3,1.1103704140965254,0.11037041409652537,0.0025396235077326003,0.0456,1.7917654855820344,50
0,0,0.5,1.0583264814103757,0.058326481410375663,0.0026406810358822605,0.0432,1.3129468082662705,50
0,0,0.8,1.1037820613574671,0.10378206135746715,0.007546206422272706,0.036000000000000004,1.8337507847886225,50
1,0,0.3,1.0168261538718928,0.01682615387189279,5.905312814669088e-06,0.04800000000000001,1.1135588980285451,50
1,0,0.5,1.0494753072561016,0.04947530725610161,0.0011538514572279309,0.0424,1.7444171693585568,50
1,0,0.8,1.0429333377371963,0.04293333773719632,0.00028924783518622976,0.0456,1.9256095560663837,50
2,0,0.3,1.0502956315108944,0.050295631510894445,2.2557351213958444e-06,0.03440000000000001,1.1594686326837738,50
2,0,0.5,1.06334535975697,0.06334535975696998,2.996923022190998e-06,0.048799999999999996,1.137033865869709,50
2,0,0.8,1.1343931856947203,0.13439318569472025,0.0010571795299488987,0.046400000000000004,1.647188076269293,50
3,0,0.3,1.1481290205731407,0.1481290205731407,2.9126794361956646e-06,0.032,1.2977630981988821,50
3,0,0.5,1.0743503957309388,0.07435039573093882,8.635772390652506e-05,0.033600000000000005,1.4308567862400552,50
3,0,0.8,1.0518850514443263,0.05188505144432631,0.000874016505510823,0.048799999999999996,1.517256272050467,50
4,0,0.3,1.0669913427084654,0.0669913427084654,4.586081208091452e-06,0.03840000000000001,1.2365343597388452,50
4,0,0.5,1.1139225969012647,0.11392259690126472,0.003311865043802698,0.0464,1.7446367361892494,50
4,0,0.8,1.0775767151049631,0.07757671510496311,0.08821710917191056,0.013600000000000003,9.999789210557937,50
5,0,0.3,0.8823800732358589,0.11761992676414113,0.00011756527219315249,0.031200000000000002,1.346897030839643,50
5,0,0.5,1.055227978849438,0.055227978849438086,0.030642892101373078,0.043199999999999995,1.516262466143201,50
5,0,0.8,1.0897852831517865,0.08978528315178647,0.04997089526689178,0.048799999999999996,1.759463870340615,50
6,0,0.3,1.1247044902429948,0.12470449024299479,0.004135772733096681,0.046400000000000004,1.645964691243393,50
6,0,0.5,1.071910297447872,0.07191029744787203,0.00900108833153476,0.0408,1.448623629314479,50
6,0,0.8,1.0977992767253595,0.09779927672535949,0.00835554559464504,0.03840000000000001,2.038084756227386,50
7,0,0.3,1.1519678061561114,0.15196780615611138,0.008999157403151,0.048799999999999996,1.6941511728691545,50
7,0,0.5,1.0189729205196325,0.018972920519632508,0.008277895540921232,0.038400000000000004,1.938257029995,50
7,0,0.8,1.116294860058092,0.11629486005809198,0.010045690440486518,0.044800000000000006,1.5201745672329685,50
8,0,0.3,1.1425140122697044,0.1425140122697044,0.0012242408359136527,0.0424,2.4706634655098316,50
8,0,0.5,1.091276178693305,0.09127617869330495,9.164442262803565e-05,0.03840000000000001,1.3465916066832178,50
8,0,0.8,1.142513783962521,0.142513783962521,0.01511310568327602,0.046400000000000004,1.4420696567251516,50
9,0,0.3,1.0866786580588632,0.08667865805886321,0.0014932641617135345,0.049600000000000005,1.3544665759238563,50
9,0,0.5,1.0973167515513835,0.09731675155138353,0.01269396606199843,0.048,1.9640280663527627,50
9,0,0.8,1.0534007138192965,0.05340071381929645,0.013308238298185747,0.0432,2.2993422354884157,50
0,1,0.3,0.9459286986353393,0.05407130136466065,0.00018737986556885682,0.046400000000000004,1.248318440984172,50
0,1,0.5,0.9431100257748263,0.05688997422517372,0.0065157901773798994,0.049600000000000005,1.5479180457119446,50
0,1,0.8,0.8831101079923633,0.11688989200763666,0.014640357895823873,0.04640000000000002,1.5116469254972027,50
1,1,0.3,0.8325259515117588,0.1674740484882412,4.835198462655201e-06,0.047200000000000006,1.2668311205853688,50
1,1,0.5,0.8812998315319683,0.11870016846803166,7.176001218801949e-05,0.0416,1.4528768350651693,50
1,1,0.8,0.8767849666550687,0.12321503334493134,0.0065011153914941175,0.048799999999999996,2.1258083252837197,50
2,1,0.3,0.9318998068547599,0.06810019314524007,1.4010195358425401e-06,0.0456,1.2927446236487445,50
2,1,0.5,0.8828271662879186,0.11717283371208143,0.0011615511556808274,0.043199999999999995,1.4957961950341851,50
2,1,0.8,0.9200681654918554,0.07993183450814456,0.018298898363023546,0.044800000000000006,1.5215239397343514,50
3,1,0.3,0.9714968846006491,0.02850311539935091,0.0008020634357491822,0.04800000000000001,1.5599971337998595,50
3,1,0.5,0.9047502548944331,0.09524974510556694,0.0019308787825969543,0.0432,1.4533400932718847,50
3,1,0.8,0.9662485540624378,0.033751445937562186,0.003722044973691801,0.0472,1.825917134535287,50
4,1,0.3,0.9616267324896773,0.03837326751032266,0.001402158363992844,0.0064,1.7432614972157006,50
4,1,0.5,0.9410827504730445,0.05891724952695554,0.00043680385096300903,0.0408,1.3181171521434263,50
4,1,0.8,0.9036493218392511,0.09635067816074894,0.006165437941448564,0.04080000000000001,1.7988878426222803,50
5,1,0.3,0.8728680587830052,0.12713194121699478,0.0012169428129610966,0.044000000000000004,1.3918110227565645,50
5,1,0.5,0.8905277260054565,0.10947227399454351,0.024146147615611298,0.0432,1.1198727699351023,50
5,1,0.8,0.8606331831613978,0.1393668168386022,0.0074558687162861684,0.0432,1.539816069843362,50
6,1,0.3,0.8866460205317831,0.1133539794682169,0.006142482783400317,0.03760000000000001,1.2324376198202407,50
6,1,0.5,0.9213671715397561,0.07863282846024389,0.009603624339663948,0.04080000000000001,1.5709177528296265,50
6,1,0.8,0.8839244305906481,0.11607556940935193,0.00035417973713690803,0.044800000000000006,1.537199234764681,50
7,1,0.3,0.8073624001479791,0.1926375998520209,0.0019130484027451084,0.0496,1.4304975741731802,50
7,1,0.5,0.9218090518397033,0.0781909481602967,0.006914768478247457,0.03840000000000001,1.33511764367476,50
7,1,0.8,0.7836182455325889,0.21638175446741115,0.8332085348511379,0.0216,9.99963082075119,50
8,1,0.3,0.9810322231387782,0.018967776861221752,9.15978313135142e-06,0.04880000000000001,1.2944016297027576,50
8,1,0.5,0.9504684230850574,0.04953157691494259,0.01185548748181185,0.047200000000000006,1.31269627541631,50
8,1,0.8,0.9038388496559251,0.09616115034407491,0.0007549709704572568,0.047200000000000006,1.4156632145075174,50
9,1,0.3,0.950820975114723,0.049179024885277034,0.030174050010921577,0.0432,1.22160658211788,50
9,1,0.5,0.8635254949138165,0.13647450508618353,6.039580598461814e-06,0.045600000000000016,1.5073422597745771,50
9,1,0.8,0.9157244984940942,0.08427550150590579,0.0005360870302401488,0.0432,2.170959238915418,50
0,2,0.3,0.9747832323972346,0.025216767602765366,3.111058093832876e-06,0.046400000000000004,1.360784584560851,50
0,2,0.5,0.8987900815073335,0.10120991849266647,0.006672586963210635,0.0176,1.606632922210081,50
0,2,0.8,0.8768723784998115,0.12312762150018852,3.417832162875244e-06,0.0424,2.396303721981641,50
1,2,0.3,0.946871672847616,0.053128327152384025,5.936611487758776e-06,0.0328,1.4718599243669406,50
1,2,0.5,0.9002043386198494,0.09979566138015061,3.7347818010861206e-06,0.0464,1.66327987401128,50
1,2,0.8,0.825584555468437,0.174415444531563,0.7125340743670271,0.0272,9.999711802005768,50
2,2,0.3,0.9233329836573262,0.07666701634267381,0.0003354880086652386,0.045599999999999995,1.4129713700105029,50
2,2,0.5,0.9820801836662024,0.017919816333797578,0.0015968377292623357,0.044000000000000004,1.9084384487600436,50
2,2,0.8,0.9313238242453719,0.06867617575462814,0.0003687371194895216,0.048,2.0156074610953483,50
3,2,0.3,0.9289239526099253,0.07107604739007467,2.9607204147200842e-05,0.039200000000000006,1.5033640999609008,50
3,2,0.5,0.9293307033693297,0.07066929663067034,0.00023638363348853713,0.0456,1.5172796184652448,50
3,2,0.8,0.9766405155405851,0.023359484459414936,0.043888642741137976,0.048,1.9565714231341622,50
4,2,0.3,0.8288970375531192,0.17110296244688084,0.023792060720187476,0.04,1.8341606247893194,50
4,2,0.5,0.8768581538219852,0.12314184617801482,0.0013525484050539943,0.039999999999999994,1.6238915193387329,50
4,2,0.8,0.9337174452312708,0.06628255476872924,1.3147899838724004e-05,0.044800000000000006,2.44233453286172,50
5,2,0.3,0.8782757180748659,0.12172428192513407,0.022420597318075757,0.028800000000000003,1.5866882978019778,50
