"('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)","('repeat', 0)","('repeat', 1)","('repeat', 2)","('repeat', 3)","('repeat', 4)","('repeat', 5)","('repeat', 6)","('repeat', 7)","('repeat', 8)","('repeat', 9)"
"('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', True)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)","('alternative_tempering', False)"
"('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 25)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 50)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)","('n_filter_particles', 100)"
"('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 25)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 50)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)","('n_sample_particles', 100)"
"{'mean': -25297.393640266186, 'var': 16466006.117204916}","{'mean': -26509.128334540255, 'var': 12966875.3758767}","{'mean': -28548.36859393692, 'var': 3233285.6133121634}","{'mean': -32865.60624556604, 'var': 10870848.356937896}","{'mean': -25194.274077317335, 'var': 4217853.610011259}","{'mean': -26572.560953515156, 'var': 13647373.650200585}","{'mean': -24070.201805848268, 'var': 3870458.028252974}","{'mean': -25102.96671729856, 'var': 3596909.096355462}","{'mean': -25008.240150201662, 'var': 14135223.40853759}","{'mean': -25104.039714617804, 'var': 5187918.152387482}","{'mean': -24050.18174048362, 'var': 8647896.258747306}","{'mean': -23722.421475873, 'var': 7837775.848130181}","{'mean': -27887.02055352095, 'var': 3417697.938777958}","{'mean': -26654.33486767092, 'var': 11030287.945630182}","{'mean': -24680.502307542563, 'var': 6684170.846370718}","{'mean': -21726.29858803125, 'var': 13531648.281418566}","{'mean': -22905.96441677829, 'var': 4809465.831986439}","{'mean': -23438.70872777013, 'var': 3867846.1922898414}","{'mean': -24623.937167427353, 'var': 11100627.678190395}","{'mean': -23708.392405128045, 'var': 5115549.795394892}","{'mean': -22511.079204301648, 'var': 5967258.575196272}","{'mean': -21465.424243296373, 'var': 3676684.0497277365}","{'mean': -24228.317603116782, 'var': 5888915.022069216}","{'mean': -22023.360459564487, 'var': 1926988.7770617984}","{'mean': -22684.891334535238, 'var': 5742369.56697448}","{'mean': -22936.978967434396, 'var': 2166121.0898900093}","{'mean': -21360.2084949785, 'var': 3332746.294297422}","{'mean': -23162.83863048661, 'var': 6148982.613303833}","{'mean': -22572.672921139936, 'var': 7324410.220107895}","{'mean': -23339.550886291767, 'var': 2555098.688610013}","{'mean': -15091.876139572745, 'var': 4638134.878821408}","{'mean': -19183.652713098036, 'var': 5541918.249952337}","{'mean': -14088.143111528809, 'var': 1183648.9301348035}","{'mean': -16317.675999242343, 'var': 2824386.1259544278}","{'mean': -15221.847870464026, 'var': 1922026.042431929}","{'mean': -19445.657826762745, 'var': 10126557.665253606}","{'mean': -14428.089547387925, 'var': 2889397.0259196265}","{'mean': -13462.713767584497, 'var': 3808737.011582388}","{'mean': -17181.41555849325, 'var': 6311315.234455647}","{'mean': -44989.46895998005, 'var': 39652473.6904764}","{'mean': -17029.687121938037, 'var': 9699948.088714112}","{'mean': -14629.810051163538, 'var': 1856642.546933996}","{'mean': -15219.913046528536, 'var': 2633854.6604052717}","{'mean': -14749.824369813668, 'var': 3987230.8527649217}","{'mean': -13608.88612434953, 'var': 1916169.7257672325}","{'mean': -15221.320130155786, 'var': 3414915.6471961266}","{'mean': -14274.923200748783, 'var': 4785965.21862605}","{'mean': -15477.140218236938, 'var': 3791000.723677695}","{'mean': -14444.252311603224, 'var': 6397449.2091234345}","{'mean': -14072.563529641813, 'var': 1547126.4097258744}","{'mean': -14483.004328043264, 'var': 2738000.4710826864}","{'mean': -13868.103218866841, 'var': 2878642.045298715}","{'mean': -13544.351523851796, 'var': 1313494.4638774856}","{'mean': -14042.5910481222, 'var': 1563135.4427642396}","{'mean': -13385.985995443547, 'var': 3041328.4938657195}","{'mean': -14572.427375597224, 'var': 1884867.8927993358}","{'mean': -13975.474279190656, 'var': 3492523.8480717554}","{'mean': -13751.034985538645, 'var': 1185513.9116898314}","{'mean': -13092.277666107095, 'var': 1640236.1807515165}","{'mean': -13149.407787967973, 'var': 1408959.0585119464}","{'mean': -10064.582009760197, 'var': 1409812.8287054966}","{'mean': -12632.460894951488, 'var': 4313704.918506478}","{'mean': -12072.522595583188, 'var': 1387555.253463389}","{'mean': -9427.041923920215, 'var': 1754957.8722348225}","{'mean': -10720.728414727379, 'var': 487547.60736944375}","{'mean': -12668.693820995566, 'var': 3665400.1130056703}","{'mean': -9238.211142186421, 'var': 1058464.5244891068}","{'mean': -10638.67194391019, 'var': 1433360.7462369618}","{'mean': -8481.015430422278, 'var': 1963120.5690639415}","{'mean': -13934.998393641485, 'var': 976937.1370468007}","{'mean': -8930.350879218142, 'var': 1288352.0700207555}","{'mean': -9266.360459929749, 'var': 1475388.9892296926}","{'mean': -8923.01467997923, 'var': 1249871.4403918209}","{'mean': -8438.191869801432, 'var': 1014150.4297938173}","{'mean': -10305.616595108768, 'var': 2475860.8238361506}","{'mean': -8401.50939946841, 'var': 1824682.1214377326}","{'mean': -8481.113890871098, 'var': 1109644.1269225297}","{'mean': -8996.136195876312, 'var': 767820.4649305862}","{'mean': -8645.308232532878, 'var': 1686655.496619428}","{'mean': -9788.108692695543, 'var': 2708641.3192041297}","{'mean': -8135.154939693015, 'var': 1411330.9086538334}","{'mean': -8579.39117647934, 'var': 1083440.857274475}","{'mean': -8126.040615320339, 'var': 261405.4974366626}","{'mean': -8148.63652520593, 'var': 1010546.6452176726}","{'mean': -8582.984161203542, 'var': 934619.4973824795}","{'mean': -9185.560624247963, 'var': 958648.7356667215}","{'mean': -8600.755647688111, 'var': 551993.190930189}","{'mean': -9829.771230351802, 'var': 1041418.4768722516}","{'mean': -8932.996304850432, 'var': 2409742.304694649}","{'mean': -7792.478081331664, 'var': 731585.5573039282}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'mean': -27877.32831106238, 'var': 8035839.112606322}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'mean': -24029.834007387886, 'var': 3652674.5317860367}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'mean': -19567.709425487286, 'var': 5217611.548986078}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'mean': -20609.575287861087, 'var': 3365043.11729291}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'mean': -20463.77077699162, 'var': 1282385.9793768846}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
