repeat,n_filter_particles,n_sample_particles,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles,n_iterations
0,50,50,1.0261745977772392,0.026174597777239184,0.18032323486835006,0.0432,0.9239081469178198,50,3
1,50,50,1.0269237461525806,0.02692374615258064,0.15323723093808708,0.019999999999999997,0.7644435266368794,50,4
2,50,50,1.0227413772378273,0.02274137723782732,0.19516056870743628,0.044000000000000004,0.9296568666794336,50,3
3,50,50,1.0314600875049182,0.031460087504918244,0.18744747672640916,0.04720000000000001,0.923666429258883,50,3
4,50,50,1.0371820634983693,0.03718206349836928,0.18460985306174404,0.0456,0.9379298989032396,50,3
5,50,50,1.0434487668695942,0.0434487668695942,0.19220948476287736,0.0176,0.8335793573930363,50,4
6,50,50,1.0332556140309097,0.03325561403090971,0.1934726790827027,0.036000000000000004,0.9323754144716077,50,3
7,50,50,1.029204910760049,0.02920491076004894,0.15556016600510858,0.049600000000000005,0.9397324089705942,50,3
8,50,50,1.032924006930494,0.03292400693049391,0.18875193337069032,0.0256,0.8251483220853695,50,4
9,50,50,1.0284794033768478,0.028479403376847845,0.3485978746506634,0.0096,0.7818448977741639,50,4
0,50,150,1.0334641449566129,0.033464144956612873,0.18580511279648998,0.027600000000000006,0.9114446060975785,100,4
1,50,150,1.0290344733475245,0.029034473347524514,0.2069077004485989,0.027200000000000005,0.8892541285900375,100,4
2,50,150,1.0410321876594906,0.04103218765949057,0.20368514699824558,0.0316,0.9152345116653751,100,4
3,50,150,1.031798120402998,0.03179812040299801,0.21008663208948494,0.024000000000000004,0.8987399459812133,100,4
4,50,150,1.0348014122818796,0.03480141228187961,0.18163564610667515,0.03320000000000001,0.9176537023176082,100,4
5,50,150,1.0343280618083055,0.0343280618083055,0.19159832834391743,0.022000000000000002,0.8804216307983264,100,4
6,50,150,1.03004804217116,0.030048042171159972,0.18730461522461359,0.030800000000000004,0.925001562059513,100,4
7,50,150,1.0339081984276306,0.0339081984276306,0.1970947773682015,0.025999999999999995,0.9114326284498726,100,4
8,50,150,1.0243880674335788,0.024388067433578797,0.18225979733190087,0.028800000000000003,0.904472078016453,100,4
9,50,150,1.0282868379763785,0.028286837976378543,0.19170301985232416,0.024000000000000004,0.8986913111945348,100,4
0,50,300,1.0963976919202718,0.09639769192027181,0.29842268473432954,0.032400000000000005,0.13375,100,4
1,50,300,1.0255296407974557,0.025529640797455677,0.2348234140515142,0.03000000000000001,0.13375,100,4
2,50,300,1.0419965938334672,0.04199659383346721,0.22639856048533022,0.0372,0.13375,100,4
3,50,300,1.036175554895959,0.03617555489595903,0.21062752106443391,0.0424,0.13375,100,4
4,50,300,1.0390473556562037,0.03904735565620365,0.20075463428265852,0.026000000000000002,0.07187500000000001,100,5
5,50,300,1.0406151092084903,0.04061510920849032,0.2974458438894924,0.04000000000000001,0.13375,100,4
6,50,300,1.0232788272930717,0.023278827293071735,0.25152523187540665,0.04160000000000001,0.13375,100,4
7,50,300,1.027589907439507,0.027589907439506955,0.20814414638781276,0.0384,0.13375,100,4
8,50,300,1.024679702756253,0.024679702756253086,0.23122863554690984,0.03360000000000001,0.13375,100,4
9,50,300,1.0273933848672299,0.027393384867229864,0.21342037727244645,0.031200000000000002,0.07187500000000001,100,5
0,150,50,1.0251712902778682,0.02517129027786824,0.13833424833518965,0.0416,0.4634209063681374,50,4
1,150,50,1.025847638421258,0.025847638421258035,0.13628700781064576,0.0216,0.5638667640159838,50,4
